Ydre pastorat;Linköpings stift
Ystad-Sövestads församling;Lunds stift
Älmhults församling;Växjö stift
Älvdalens församling;Västerås stift
Älvkarleby-Skutskärs församling;Uppsala stift
Älvsby församling;Luleå stift
Ängelholms församling;Lunds stift
Ärtemarks pastorat;Karlstads stift
Åhus församling;Lunds stift
Åker-Länna församling;Strängnäs stift
Åkerbo församling;Linköpings stift
Ålems församling;Växjö stift
Åmåls församling;Karlstads stift
Åre pastorat;Härnösands stift
Åtvids församling;Linköpings stift
Öckerö församling;Göteborgs stift
Örby-Skene församling;Göteborgs stift
Örebro pastorat;Strängnäs stift
Örgryte pastorat;Göteborgs stift
Örkelljunga pastorat;Lunds stift
Örkeneds församling;Lunds stift
Örnsköldsviks norra pastorat;Härnösands stift
Örnsköldsviks södra pastorat;Härnösands stift
Ösmo-Torö församling;Strängnäs stift
Össeby församling;Stockholms stift
Östersunds församling;Härnösands stift
Östervåla-Harbo pastorat;Uppsala stift
Österåkers pastorat;Stockholms stift
Östra Ryds församling;Linköpings stift
Östra Vikbolandets pastorat;Linköpings stift
Överkalix församling;Luleå stift
Övertorneå församling;Luleå stift
Övre Älvdals församling;Karlstads stift
