Stift;Enhet;Löneservice;Antal konton
Stockholms stift;Stockholms domkyrkoförsamling;Nej;48
Stockholms stift;Sundbybergs församling;Nej;46
Stockholms stift;Tyresö församling;Nej;61
Stockholms stift;Tyska S:ta Gertruds församling;Nej;15
Stockholms stift;Vantörs församling;Nej;32
Stockholms stift;Vaxholms församling;Nej;38
Stockholms stift;Värmdö församling;Nej;35
Stockholms stift;Össeby församling;Nej;16
Stockholms stift;Österåkers pastorat;Nej;109
Strängnäs stift;Bodarne pastorat;Ja;28
Strängnäs stift;Eskilstuna pastorat;Ja;335
Strängnäs stift;Flen, Helgesta-Hyltinge församling;Ja;29
Strängnäs stift;Grödinge församling;Ja;9
Strängnäs stift;Hallsbergs församling;Ja;22
Strängnäs stift;Hovsta pastorat;Ja;39
Strängnäs stift;Hölö-Mörkö församling;Ja;13
Strängnäs stift;Järna-Vårdinge pastorat;Ja;35
Strängnäs stift;Kafjärdens församling;Ja;27
Strängnäs stift;Katrineholmsbygdens församling;Ja;80
Strängnäs stift;Kvismare församling;Ja;18
Strängnäs stift;Mellösa församling;Ja;8
Strängnäs stift;Salems församling;Ja;30
Strängnäs stift;Sorunda församling;Ja;14
Strängnäs stift;Stallarholmens församling;Ja;7
Strängnäs stift;Stenkvista-Ärla församling;Ja;9
Strängnäs stift;Strängnäs stift;Ja;121
Strängnäs stift;Södertälje pastorat;Ja;196
Strängnäs stift;Trosa församling;Ja;28
Strängnäs stift;Västra Vingåkers och Österåkers pastorat;Ja;17
Strängnäs stift;Åker-Länna församling;Ja;21
Strängnäs stift;Asker-Lännäs församling;Nej;15
Strängnäs stift;Askersunds pastorat;Nej;43
Strängnäs stift;Bettna församling;Nej;8
Strängnäs stift;Björkviks församling;Nej;5
Strängnäs stift;Daga församling;Nej;14
Strängnäs stift;Dunker-Lilla Malma församling;Nej;17
Strängnäs stift;Frustuna församling;Nej;32
Strängnäs stift;Husby-Rekarne o Näshulta pastorat;Nej;34
Strängnäs stift;Hällby församling med Tumbo och Råby-Rekarne;Nej;18
Strängnäs stift;Kiladalens församling;Nej;32
Strängnäs stift;Knista församling;Nej;34
Strängnäs stift;Kumla pastorat;Nej;48
Strängnäs stift;Mariefreds församling;Nej;22
Strängnäs stift;Nyköpings församling;Nej;149
Strängnäs stift;Nynäshamns församling;Nej;28
Strängnäs stift;Oxelösunds församling;Nej;45
Strängnäs stift;Rönö församling;Nej;11
Strängnäs stift;Sköllersta församling;Nej;20
Strängnäs stift;Stigtomta-Vrena församling;Nej;26
Strängnäs stift;Strängnäs domkyrkoförsamling med Aspö;Nej;60
Strängnäs stift;Torshälla församling;Nej;18
Strängnäs stift;Tunabergs församling;Nej;9
Strängnäs stift;Turinge-Taxinge församling;Nej;46
Strängnäs stift;Tysslinge församling;Nej;19
Strängnäs stift;Tystbergabygdens församling;Nej;8
Strängnäs stift;Viby församling;Nej;15
Strängnäs stift;Vårfruberga-Härads församling;Nej;4
Strängnäs stift;Örebro pastorat;Nej;307
Strängnäs stift;Ösmo-Torö församling;Nej;15
Trossamfundet Svenska kyrkan;Trossamfundet Svenska kyrkan;Ja;954
Uppsala stift;Alunda församling;Ja;16
Uppsala stift;Danmark-Funbo församling;Ja;45
Uppsala stift;Gävle församling;Ja;148
Uppsala stift;Håbo pastorat;Ja;56
Uppsala stift;Knivsta pastorat;Ja;84
Uppsala stift;Kungsängen-Västra Ryds församling;Ja;28
Uppsala stift;Ockelbo församling;Ja;18
Uppsala stift;Roslagens norra pastorat;Ja;57
Uppsala stift;Roslagens östra pastorat;Ja;120
Uppsala stift;Sandvikens pastorat;Ja;82
Uppsala stift;Tierps pastorat;Ja;44
Uppsala stift;Tierp-Söderfors församling;Ja;17
Uppsala stift;Uppsala stift;Ja;125
Uppsala stift;Vattholma pastorat;Ja;33
Uppsala stift;Älvkarleby-Skutskärs församling;Ja;27
Uppsala stift;Alfta-Ovanåkers församling;Nej;38
Uppsala stift;Almunge pastorat;Nej;18
Uppsala stift;Balingsta pastorat;Nej;18
Uppsala stift;Bergsjö församling;Nej;11
Uppsala stift;Björklinge-Skuttunge-Viksta pastorat;Nej;21
Uppsala stift;Bollnäs pastorat;Nej;139
Uppsala stift;Bro församling;Nej;29
Uppsala stift;Bälingebygdens församling;Nej;38
Uppsala stift;Dannemorabygdens församling;Nej;16
Uppsala stift;Dellenbygdens pastorat;Nej;14
Uppsala stift;Enköpings pastorat;Nej;145
Uppsala stift;Enånger-Njutångers församling;Nej;17
Uppsala stift;Forsa-Högs församling;Nej;6
Uppsala stift;Gimo pastorat;Nej;11
Uppsala stift;Gästrikekustens pastorat;Nej;33
Uppsala stift;Hofors församling;Nej;18
Uppsala stift;Hudiksvallsbygdens församling;Nej;62
Uppsala stift;Lagunda församling;Nej;19
Uppsala stift;Ljusnans pastorat;Nej;50
Uppsala stift;Märsta pastorat;Nej;54
Uppsala stift;Nora församling;Nej;9
Uppsala stift;Nordanstigskustens församling;Nej;20
Uppsala stift;Norra Hagunda församling;Nej;34
Uppsala stift;Norrala-Trönö församling;Nej;8
Uppsala stift;Ovansjö-Järbo församling;Nej;23
Uppsala stift;Rasbo pastorat;Nej;16
Uppsala stift;Roslagens västra pastorat;Nej;52
Uppsala stift;Sigtuna församling;Nej;27
Uppsala stift;Söderala pastorat;Nej;20
Uppsala stift;Söderhamn-Sandarne församling;Nej;27
Uppsala stift;Torsåkers församling;Nej;10
Uppsala stift;Uppsala pastorat;Nej;349
Uppsala stift;Valbo-Hedesunda pastorat;Nej;34
Uppsala stift;Vendel-Tegelsmora församling;Nej;20
Uppsala stift;Vittinge församling;Nej;8
Uppsala stift;Västerlövsta pastorat;Nej;24
Uppsala stift;Östervåla-Harbo pastorat;Nej;17
Visby stift;Burs pastorat;Ja;7
Visby stift;Fardhem-Garde pastorat;Ja;9
Visby stift;Klinte pastorat;Ja;22
Visby stift;Norra Gotlands pastorat;Ja;52
Visby stift;Romaklosters pastorat;Ja;30
Visby stift;Stenkumla församling;Ja;10
Visby stift;Sudrets pastorat;Ja;22
Visby stift;Visby domkyrkoförsamling;Ja;98
Visby stift;Visby stift;Ja;47
Visby stift;Eskelhems pastorat;Nej;8
Västerås stift;Falu pastorat;Ja;104
Västerås stift;Stora Tuna och Torsångs pastorat;Ja;85
Västerås stift;Arbogabygdens församling;Nej;68
Västerås stift;Avesta-Grytnäs församling;Nej;28
Västerås stift;Bjursås församling;Nej;9
Västerås stift;By-Folkärna pastorat;Nej;36
Västerås stift;Bärke pastorat;Nej;56
Västerås stift;Gagnefs pastorat;Nej;33
Västerås stift;Gränge-Säfsnäs församling;Nej;18
Västerås stift;Hallstahammar-Kolbäcks församling;Nej;37
Västerås stift;Hedemora, Husby och Garpenbergs församling;Nej;62
Västerås stift;Idre-Särna församling;Nej;24
Västerås stift;Järna med Nås och Äppelbo församling;Nej;21
Västerås stift;Kumla, Tärna och Kila församling;Nej;10
Västerås stift;Kungsörs församling;Nej;17
Västerås stift;Köpings pastorat;Nej;45
Västerås stift;Leksands pastorat;Nej;43
Västerås stift;Lima-Transtrands församling;Nej;19
Västerås stift;Linde-Ljusnarsbergs pastorat;Nej;91
Västerås stift;Ludvika församling;Nej;44
Västerås stift;Malungs församling;Nej;21
Västerås stift;Mora församling;Nej;45
Västerås stift;Noraskogs pastorat;Nej;54
Västerås stift;Norberg-Karbennings församling;Nej;16
Västerås stift;Orsa församling;Nej;22
